origem,destino,distancia_km,bloqueada
CD,P01,2.7,0
CD,P06,1.2,0
CD,P11,1.3,0
CD,P16,2.3,0
P01,P02,1.1,0
P01,P06,1.3,0
P01,P07,2.2,0
P02,P03,1.2,0
P02,P07,1.0,0
P03,P04,1.1,0
P03,P08,1.0,0
P03,P09,2.2,0
P04,P05,1.2,0
P04,P09,1.2,0
P04,P10,1.5,0
P05,P10,1.7,0
P06,P07,1.3,0
P06,P11,1.0,0
P06,P12,1.5,0
P07,P08,1.1,1
P07,P12,1.2,0
P08,P09,1.4,0
P08,P13,1.1,0
P08,P14,1.4,0
P09,P10,1.2,0
P09,P14,1.1,0
P09,P15,2.2,0
P10,P15,1.0,0
P11,P12,1.3,0
P11,P16,1.5,0
P11,P17,1.8,0
P12,P13,1.7,0
P12,P17,1.4,1
P13,P14,1.0,0
P13,P18,1.4,0
P13,P19,1.4,0
P14,P15,1.3,0
P14,P19,1.1,0
P14,P20,2.4,1
P15,P20,1.7,1
P16,P17,1.2,0
P17,P18,1.0,0
P18,P19,1.1,0
P19,P20,1.3,1
