id,tipo,x,y,pessoas,prioridade,demanda,beneficio
CD,centro,0.0,1.5,0,0,0,0
P01,regiao,0.94,-0.02,95,3,7,170
P02,regiao,1.92,0.01,58,1,9,83
P03,regiao,2.96,0.01,239,1,9,264
P04,regiao,4.05,-0.04,234,2,5,284
P05,regiao,5.05,-0.05,247,3,9,322
P06,regiao,0.9299999999999999,1.02,109,3,15,184
P07,regiao,1.96,0.96,134,5,9,259
P08,regiao,3.05,0.92,57,5,9,182
P09,regiao,4.06,1.0,181,3,11,256
P10,regiao,4.97,0.99,143,5,8,268
P11,regiao,1.05,1.93,113,3,5,188
P12,regiao,2.0,2.02,153,3,16,228
P13,regiao,3.08,1.95,122,2,11,172
P14,regiao,3.96,1.98,86,4,16,186
P15,regiao,5.02,1.95,185,3,10,260
P16,regiao,1.03,2.96,60,1,14,85
P17,regiao,1.94,3.07,192,2,9,242
P18,regiao,2.93,3.03,152,1,9,177
P19,regiao,3.92,2.97,223,3,7,298
P20,regiao,5.06,3.06,233,4,15,333
