timestamp,regiao,consumo,capacidade_disponivel,prioridade,custo
2026-01-01T00:00,Norte,690,900,3,65
2026-01-01T00:00,Nordeste,898,1100,5,90
2026-01-01T00:00,Sudeste,1373,1600,4,75
2026-01-01T00:00,Sul,810,1000,2,55
2026-01-01T01:00,Norte,716,900,3,65
2026-01-01T01:00,Nordeste,874,1100,5,90
2026-01-01T01:00,Sudeste,1366,1600,4,75
2026-01-01T01:00,Sul,763,1000,2,55
2026-01-01T02:00,Norte,662,900,3,65
2026-01-01T02:00,Nordeste,911,1100,5,90
2026-01-01T02:00,Sudeste,1430,1600,4,75
2026-01-01T02:00,Sul,797,1000,2,55
2026-01-01T03:00,Norte,680,900,3,65
2026-01-01T03:00,Nordeste,901,1100,5,90
2026-01-01T03:00,Sudeste,1439,1600,4,75
2026-01-01T03:00,Sul,841,1000,2,55
2026-01-01T04:00,Norte,740,900,3,65
2026-01-01T04:00,Nordeste,929,1100,5,90
2026-01-01T04:00,Sudeste,1416,1600,4,75
2026-01-01T04:00,Sul,807,1000,2,55
2026-01-01T05:00,Norte,754,900,3,65
2026-01-01T05:00,Nordeste,948,1100,5,90
2026-01-01T05:00,Sudeste,1424,1600,4,75
2026-01-01T05:00,Sul,854,1000,2,55
2026-01-01T06:00,Norte,786,900,3,65
2026-01-01T06:00,Nordeste,976,1100,5,90
2026-01-01T06:00,Sudeste,1473,1600,4,75
2026-01-01T06:00,Sul,891,1000,2,55
2026-01-01T07:00,Norte,822,918,3,65
2026-01-01T07:00,Nordeste,1032,1118,5,90
2026-01-01T07:00,Sudeste,1496,1618,4,75
2026-01-01T07:00,Sul,928,1018,2,55
2026-01-01T08:00,Norte,867,934,3,65
2026-01-01T08:00,Nordeste,1082,1134,5,90
2026-01-01T08:00,Sudeste,1549,1634,4,75
2026-01-01T08:00,Sul,940,1034,2,55
2026-01-01T09:00,Norte,880,949,3,65
2026-01-01T09:00,Nordeste,1109,1149,5,90
2026-01-01T09:00,Sudeste,1584,1649,4,75
2026-01-01T09:00,Sul,960,1049,2,55
2026-01-01T10:00,Norte,946,960,3,65
2026-01-01T10:00,Nordeste,1114,1160,5,90
