n_horas,registros_brutos,algoritmo,repeticoes,tempo_medio_s,desvio_padrao_s,operacoes,pico_memoria_bytes,inicio,fim,soma
100,400,Força bruta,3,0.00015264199979962237,9.068132080702897e-06,5050,472,15,15,8665
100,400,Dividir e conquistar,3,7.045066680196517e-05,6.873968196589034e-07,672,824,15,15,8665
250,1000,Força bruta,3,0.0009948416667005706,0.00018924647320912383,31375,472,15,15,8665
250,1000,Dividir e conquistar,3,0.0001901273332502266,7.128716747479178e-06,1994,920,15,15,8665
500,2000,Força bruta,3,0.004805837333454595,0.0005024579089371666,125250,472,15,15,8665
500,2000,Dividir e conquistar,3,0.0004243930000787562,9.045573107230446e-06,4488,1872,15,15,8665
1000,4000,Força bruta,3,0.01903984366678439,0.0017400543769547402,500500,472,15,15,8665
1000,4000,Dividir e conquistar,3,0.0009988369999215745,1.3845803446443538e-05,9976,2192,15,15,8665
2000,8000,Força bruta,3,0.07154605099973803,0.0009867765547452217,2001000,492,1000,1245,12733555
2000,8000,Dividir e conquistar,3,0.0020113359999716827,8.523645599312487e-06,21952,2448,1000,1245,12733555
5000,20000,Força bruta,3,0.45458992333321174,0.006684992550066965,12502500,492,3200,3499,38328640
5000,20000,Dividir e conquistar,3,0.006489608666925051,0.0010788017716809562,61808,2960,3200,3499,38328640
